"123","2018-08-01",NULL,NULL,"CAR",NULL,"PARM",NULL,"D_10","211","F_0","E_2"
"124","2018-11-26",NULL,"12000000000.00","CAR",NULL,"PARM",NULL,"D_11","214","F_7","E_1"
"125","2018-08-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_11","235",NULL,"E_1"
"126","2017-10-01",NULL,NULL,"Sochi, Russia",NULL,"PARM",NULL,"U_9999","213","U_9999","E_2"
"127","2019-01-11",NULL,NULL,NULL,NULL,"PARM",NULL,"D_2","228",NULL,"E_1"
"128","2019-10-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_2","231","F_0","E_2"
"129","2018-11-26",NULL,"12000000000.00","CAR",NULL,"PARM",NULL,"D_11","215","F_7","E_1"
"130","2018-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_13","225","F_2","E_1"
"131","2018-07-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","220",NULL,"E_1"
"132","2017-12-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_8","239",NULL,"E_1"
"133","2019-01-11",NULL,NULL,NULL,NULL,"PARM",NULL,"D_8","229",NULL,"E_2"
"134","2018-08-01",NULL,NULL,"Sibut, CAR",NULL,"PARM",NULL,"D_11","247","F_0","E_1"
"135","2018-08-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","223",NULL,"E_2"
"136","2018-12-01",NULL,NULL,NULL,NULL,"PARQ",NULL,"D_11","243",NULL,"E_1"
"137","2018-01-01",NULL,NULL,NULL,NULL,"PARQ",NULL,"D_11","244",NULL,"E_1"
"138","2017-12-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","248",NULL,"E_1"
"139","0001-01-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_8","253",NULL,"E_2"
"140","2017-09-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","262","F_0","E_1"
"141","2018-01-01",NULL,NULL,NULL,NULL,"PARQ",NULL,"D_11","245",NULL,"E_1"
"142","2017-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_13","259",NULL,"E_2"
"143","2018-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","249",NULL,"E_2"
"144","2018-10-29",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_0","265","U_9999","E_1"
"145","2018-10-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","268",NULL,"E_2"
"146","2017-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","260",NULL,"E_1"
"147","2018-01-01",NULL,NULL,NULL,NULL,"PARQ",NULL,"D_11","246",NULL,"E_1"
"148","2018-03-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","250",NULL,"E_2"
"149","2018-10-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","269",NULL,"E_2"
"150","1000-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","263","F_0","E_1"
"151","2018-03-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_11","255",NULL,"E_1"
"152","2018-10-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","270",NULL,"E_2"
"153","2018-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","261",NULL,"E_1"
"154","2017-01-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_8","266","U_9999","E_1"
"155","2018-01-26",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","264",NULL,"E_1"
"156","2018-01-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_13","257",NULL,"E_2"
"157","2018-03-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","251",NULL,"E_1"
"189","2018-04-10",NULL,"10600000.00","Santo Domingo province, Dominican Republic",NULL,"PARM",NULL,"D_8","330","F_4","E_1"
"190","2018-04-10",NULL,"10600000.00","Santo Domingo province, Dominican Republic",NULL,"PARM",NULL,"D_8","331","F_4","E_1"
"191","2019-05-21",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","332",NULL,"E_1"
"192","2020-07-22",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","339","F_0","E_2"
"193","2019-02-28",NULL,"60000000.00",NULL,NULL,"PARM",NULL,"D_8","335","F_1","E_1"
"194","2019-05-21",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","333",NULL,"E_1"
"195","2020-07-22",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","340","F_0","E_2"
"196","2016-01-01",NULL,NULL,"Gulf of Mexico",NULL,"PARM",NULL,"D_13","345",NULL,"E_2"
"197","2019-05-21",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","334",NULL,"E_1"
"198","2019-02-28",NULL,"60000000.00",NULL,NULL,"PARM",NULL,"D_8","336","F_1","E_1"
"199","2020-07-10",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","341","U_9999","E_1"
"200","2011-08-11",NULL,"1200000000.00","Costa Rica",NULL,"PARM",NULL,"D_1","337","F_4","E_1"
"201","2008-09-12",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","338","F_4","E_1"
"202","2019-07-13",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","352",NULL,"E_2"
